0:0:0:0:0:0:0:1 - - [30/Apr/2018:10:53:11 +0530] GET / HTTP/1.1 200 3523
0:0:0:0:0:0:0:1 - - [30/Apr/2018:10:53:13 +0530] GET /js/scripts.js HTTP/1.1 200 16197
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET / HTTP/1.1 200 3523
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /css/bootstrap.css HTTP/1.1 200 129126
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /css/sticky-footer-navbar.css HTTP/1.1 200 938
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /css/bootstrap-dialog.css HTTP/1.1 200 2554
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /css/colorbox.css HTTP/1.1 200 4385
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /css/font-awesome.css HTTP/1.1 200 25197
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /css/datepicker.css HTTP/1.1 200 33704
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /js/jquery.js HTTP/1.1 200 93435
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:22 +0530] GET /css/morris.css HTTP/1.1 200 443
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:23 +0530] GET /css/krystal.css HTTP/1.1 200 7246
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:23 +0530] GET /js/additional-methods.min.js HTTP/1.1 200 13819
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:23 +0530] GET /js/bootstrap.js HTTP/1.1 200 55258
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:23 +0530] GET /js/bootstrap-dialog.js HTTP/1.1 200 21189
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:23 +0530] GET /js/odometer.min.js HTTP/1.1 200 9896
0:0:0:0:0:0:0:1 - - [30/Apr/2018:16:01:23 +0530] GET /js/bootstrap-datepicker.js HTTP/1.1 200 46821
